tD,pD,dD,CD,s
59.94842503189409,2.474911301809076,0.48066407951716994,0.01,0.0
77.4263682681127,2.5983668082078744,0.4841236508135545,0.01,0.0
100.0,2.722630391037775,0.48701754809545206,0.01,0.0
129.15496650148827,2.847566662934785,0.48941863813181163,0.01,0.0
166.81005372000593,2.9730588489034986,0.4913923202525524,0.01,0.0
215.44346900318823,3.099005025473737,0.49301779858951833,0.01,0.0
278.2559402207126,3.2253289452619356,0.4943532144121351,0.01,0.0
359.38136638046257,3.351958434846864,0.495444426510414,0.01,0.0
464.1588833612773,3.478840712126349,0.49632479408696883,0.01,0.0
599.4842503189409,3.6059206731019735,0.49703762001018975,0.01,0.0
774.2636826811262,3.7331676931247273,0.49762871344172166,0.01,0.0
1000.0,3.8605501080834657,0.49810433578662855,0.01,0.0
1291.5496650148827,3.9880404971998367,0.49848095256247266,0.01,0.0
1668.100537200059,4.115615621530537,0.49878123062530494,0.01,0.0
2154.4346900318824,4.243259658600515,0.499028679366601,0.01,0.0
2782.55940220712,4.37096139888299,0.49922705444434917,0.01,0.0
3593.813663804626,4.498706941618934,0.49937359233106793,0.01,0.0
4641.588833612773,4.626483663224413,0.49950707141234546,0.01,0.0
5994.8425031894085,4.754297505280974,0.49961884083465147,0.01,0.0
7742.636826811262,4.8821314176877095,0.49969233778858213,0.01,0.0
10000.0,5.009982867075493,0.49975112835738567,0.01,0.0
12915.496650148827,5.137846861768303,0.499795799844237,0.01,0.0
16681.005372000556,5.2657211689115755,0.4998460804177489,0.01,0.0
21544.346900318822,5.393610891448617,0.49987379055249404,0.01,0.0
27825.5940220712,5.521499377468153,0.49989696278099416,0.01,0.0
35938.13663804626,5.649400956900287,0.49992527686045346,0.01,0.0
46415.888336127726,5.777303930825887,0.49993526259234583,0.01,0.0
59948.42503189409,5.905210619812998,0.4999577130044858,0.01,0.0
77426.36826811262,6.03312508129067,0.49996193694348023,0.01,0.0
100000.0,6.16103393160644,0.4999646873935823,0.01,0.0
129154.96650148826,6.288949800449757,0.4999787539607682,0.01,0.0
